"","q1","q2","q3","q4","q5","q7","q8","q9","q10","q11","q12","partyid","scale","likely","educ","racer","phonetyp","age","hisp","gender3","party2","county","race.st","smp","regionw","age4","agew","turnout3","partyw","region","likelyyn","rv.weight","turnout.score","lv.weight"
"213","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Oppose","Real threat","Support","Excellent","Democrat","Seven","Almost certain","Grade school","African American/Black","Cell Phone only",58,"No","Female","Democratic","Broward","Black","Cell","Southeast",3,"45 to 64","Middle","Democratic","Southeast",1,0.985004723072052,0.599655788,0.295331891698747
"214","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Hispanic/Latino","Cell Phone only",68,"Yes","Male","Democratic","Marion","Other","Cell","Central",4,"65+","Middle","Democratic","Central",1,0.650992810726166,0.699514477,0.553185853451516
"215","Favorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Good","Independent (No party)","Nine","Almost certain","Graduate or Professional degree","Hispanic/Latino","Cell Phone only",43,"Yes","Male","Non-Partisan","Hillsborough","Hispanic","Cell","Bay Area",2,"30 to 44","Low","Other","Bay Area",1,1.16312253475189,0.266465635,0.736527360360244
"216","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","Marco Rubio, the Republican","Disapprove","Support","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Republican","Five","[DO NOT READ] Don't know/Refused","Bachelors' degree","Hispanic/Latino","Cell Phone only",39,"Yes","Male","Democratic","Palm Beach","Hispanic","Cell","Southeast",2,"30 to 44","Middle","Democratic","Southeast",0,0.686016023159027,0.595667649,0.204318775502726
"217","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Support","Not","Support","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Asian","Cell Phone only",52,"No","Male","Non-Partisan","Orange","Other","Cell","Central",3,"45 to 64","High","Other","Central",1,0.807327628135681,0.909785023,0.770911106837482
"218","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Jill Stein, the Green Party candidate","Marco Rubio, the Republican","Approve","Oppose","Oppose","[DO NOT READ] Don't know/No opinion","Support","Fair","Democrat","Eight","Almost certain","Some college or trade school","Hispanic/Latino","Cell Phone only",25,"Yes","Female","Democratic","Polk","Hispanic","Cell","Bay Area",1,"18 to 29","Low","Democratic","Bay Area",1,1.10914242267609,0.26773088,0.1484758384342
"219","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Cell Phone only",37,"No","Male","Non-Partisan","Clay","White","Landline","North/Panhandle",2,"30 to 44","Low","Other","North/Panhandle",1,1.09129333496094,0.261783484,0.688487953126495
"220","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Oppose","Support","Real threat","Oppose","Fair","Independent (No party)","Eight","Somewhat likely","High school","Hispanic/Latino","Landline and Cell Phone",22,"Yes","Female","Non-Partisan","Miami-Dade","Hispanic","Landline","Southeast",1,"18 to 29","Low","Other","Southeast",0,1.24205565452576,0.227953273,0.141565325227624
"221","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","[DO NOT READ] Someone else (specify)","Patrick Murphy, the Democrat","[DO NOT READ] Don't know/No opinion","Oppose","Oppose","Real threat","Oppose","Poor","or as a member of another political party","Eight","Somewhat likely","Bachelors' degree","[DO NOT READ] Other/Something else (specify)","Cell Phone only",24,"No","Male","Non-Partisan","Manatee","White","Cell","Bay Area",1,"18 to 29","Middle","Other","Bay Area",0,0.65609335899353,0.564484523,0.185177273069419
"222","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Support","Support","Not","Oppose","Good","Democrat","Ten (definitely will vote)","Very likely","Graduate or Professional degree","Hispanic/Latino","Cell Phone only",50,"Yes","Male","Democratic","Collier","Other","Cell","Southwest",3,"45 to 64","High","Democratic","Southwest",1,0.546000301837921,0.906877584,0.520577868215983
"223","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat","Disapprove","Support","Oppose","Not","Support","Poor","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",55,"No","Female","Non-Partisan","Miami-Dade","White","Landline","Southeast",3,"45 to 64","Middle","Other","Southeast",1,0.910202145576477,0.742794465,0.793147630215803
"224","Unfavorable","Unfavorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Support","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",68,"No","Female","Registered Independent","Sarasota","White","Landline","Southwest",4,"65+","Middle","Other","Southwest",1,0.794508397579193,0.718974714,0.682869922749646
"225","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Marco Rubio, the Republican","Disapprove","Support","Oppose","[DO NOT READ] Don't know/No opinion","Support","Fair","or as a member of another political party","Five","Not very likely","High school","Asian","Cell Phone only",52,"No","Female","Democratic","Lake","Other","Cell","Central",3,"45 to 64","Low","Democratic","Central",0,1.27017152309418,0.243719587,0.154782838878751
"226","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Oppose","Support","Real threat","Support","Fair","Independent (No party)","Eight","Very likely","Bachelors' degree","Caucasian/White","Landline only",66,"No","Male","Non-Partisan","Sumter","White","Landline","Central",4,"65+","Low","Other","Central",1,1.59295105934143,0.22174895,0.176617612405175
"227","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Hispanic/Latino","Landline and Cell Phone",38,"Yes","Female","Democratic","Palm Beach","Hispanic","Landline","Southeast",2,"30 to 44","High","Democratic","Southeast",1,1.01896286010742,0.934720197,0.985704013230839
"228","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Oppose","Real threat","Support","[DO NOT READ] Don't know/No opinion","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","African American/Black","Landline only",25,"No","Female","Democratic","Palm Beach","Black","Landline","Southeast",1,"18 to 29","Middle","Democratic","Southeast",1,0.905202984809875,0.64370356,0.743942684327309
"229","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Support","Support","Real threat","Oppose","Fair","[DO NOT READ] Refused","Ten (definitely will vote)","Very likely","Some college or trade school","African American/Black","Cell Phone only",38,"No","Female","Democratic","Polk","Black","Cell","Bay Area",2,"30 to 44","Middle","Democratic","Bay Area",1,1.01630568504333,0.65470246,0.840841758576596
"230","Favorable","Unfavorable","[DO NOT READ] Don't know/No opinion","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Support","Poor","Democrat","Ten (definitely will vote)","Almost certain","High school","African American/Black","Landline and Cell Phone",59,"No","Male","Democratic","Lee","Other","Cell","Southwest",3,"45 to 64","High","Democratic","Southwest",1,0.546000301837921,0.9153313,0.522885733959809
"231","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Republican","Ten (definitely will vote)","Very likely","High school","Caucasian/White","Landline and Cell Phone",53,"No","Male","Republican","Manatee","White","Cell","Bay Area",3,"45 to 64","High","Republican","Bay Area",1,1.04399013519287,0.961766338,1.02403235221272
"232","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Support","Oppose","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",30,"No","Male","Democratic","Manatee","Other","Landline","Bay Area",2,"30 to 44","Low","Democratic","Bay Area",1,0.938255310058594,0.238412073,0.580973352235588
"233","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Support","Real threat","Support","Fair","Republican","Two","Not very likely","High school","Caucasian/White","Landline and Cell Phone",22,"No","Male","Non-Partisan","Broward","White","Cell","Southeast",1,"18 to 29","Low","Other","Southeast",0,1.19443082809448,0.227953273,0.136137207720903
"234","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Real threat","[DO NOT READ] Don't know/No opinion","Fair","Republican","Nine","Very likely","Some college or trade school","Caucasian/White","Cell Phone only",21,"No","Female","Republican","Duval","White","Cell","North/Panhandle",1,"18 to 29","Low","Republican","North/Panhandle",1,1.29355204105377,0.389525711,0.898711909133596
"235","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","[DO NOT READ] Don't know/No opinion","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",73,"No","Male","Democratic","Liberty","White","Landline","North/Panhandle",4,"65+","Middle","Democratic","North/Panhandle",1,0.580376327037811,0.836841266,0.533029593656282
"236","Favorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Patrick Murphy, the Democrat","Disapprove","Support","Support","Not","Oppose","Good","Democrat","One (definitely will NOT vote)","Somewhat likely","High school","African American/Black","Landline and Cell Phone",57,"No","Female","Democratic","Leon","Black","Cell","North/Panhandle",3,"45 to 64","High","Democratic","North/Panhandle",0,0.933854520320892,0.929113503,0.433828422800792
"237","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican","Approve","Oppose","[DO NOT READ] Don't know/No opinion","Not","Support","Good","Democrat","Ten (definitely will vote)","Almost certain","High school","Hispanic/Latino","Landline only",74,"Yes","Female","Democratic","Miami-Dade","Hispanic","Landline","Southeast",4,"65+","High","Democratic","Southeast",1,0.977017998695374,0.989726117,0.971999114880137
"238","Favorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Disapprove","Oppose","Support","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Hispanic/Latino","Cell Phone only",27,"Yes","Male","Democratic","Osceola","Other","Cell","North/Panhandle",1,"18 to 29","Middle","Democratic","North/Panhandle",1,0.373547941446304,0.550363981,0.28956763661075
"239","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Oppose","Real threat","Support","Poor","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",57,"No","Female","Democratic","Pinellas","White","Landline","Bay Area",3,"45 to 64","High","Democratic","Bay Area",1,1.00695979595184,0.904079403,0.958665703057014
"240","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Support","Good","Democrat","Ten (definitely will vote)","Somewhat likely","Some college or trade school","Asian","Cell Phone only",41,"No","Male","Non-Partisan","Broward","Other","Cell","Southeast",2,"30 to 44","Middle","Other","Southeast",1,0.613710343837738,0.615874107,0.495839326595879
"241","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Won't vote","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","[DO NOT READ] Don't know/No opinion","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","Hispanic/Latino","Cell Phone only",60,"Yes","Male","Non-Partisan","Hillsborough","Hispanic","Cell","Bay Area",3,"45 to 64","Low","Other","Bay Area",1,1.06011199951172,0.302494703,0.69039513144532
"242","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","Support","Real threat","Oppose","Good","Independent (No party)","Five","Not very likely","High school","Hispanic/Latino","Cell Phone only",28,"Yes","Male","Non-Partisan","Volusia","Hispanic","Cell","Central",1,"18 to 29","Low","Other","Central",0,1.20692098140717,0.241653505,0.145828343311001
"243","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Gary Johnson, the Libertarian","Marco Rubio, the Republican","Approve","Oppose","Oppose","Real threat","[DO NOT READ] Don't know/No opinion","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","[DO NOT READ] Refused","Caucasian/White","Landline and Cell Phone",53,"No","Male","Non-Partisan","Seminole","White","Cell","Central",3,"45 to 64","High","Other","Central",1,1.0957258939743,0.905601726,1.04400857739016
"244","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Cell Phone only",29,"No","Male","Democratic","Alachua","White","Cell","North/Panhandle",1,"18 to 29","High","Democratic","North/Panhandle",1,0.628094673156738,0.982849099,0.622708478063722
"245","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Good","Democrat","Ten (definitely will vote)","Almost certain","High school","Hispanic/Latino","Cell Phone only",55,"Yes","Female","Independence","Broward","Hispanic","Cell","Southeast",3,"45 to 64","Middle","Other","Southeast",1,0.789450407028198,0.713926169,0.67652985626139
"246","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Oppose","Oppose","Not","Support","Good","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",56,"No","Male","Republican","Levy","White","Landline","North/Panhandle",3,"45 to 64","Middle","Republican","North/Panhandle",1,0.685754120349884,0.816581144,0.622864002223953
"247","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",90,"No","Female","Democratic","Manatee","White","Landline","Bay Area",4,"65+","High","Democratic","Bay Area",1,1.05932211875916,0.969269804,1.04304553059085
"248","Favorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Hillary Clinton, the Democrat","Marco Rubio, the Republican","Approve","[DO NOT READ] Don't know/No opinion","Oppose","Real threat","Oppose","Good","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",52,"No","Male","Republican","Volusia","White","Cell","Central",3,"45 to 64","Low","Republican","Central",1,1.7872987985611,0.383840317,1.2366680688809
"249","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",72,"No","Male","Republican","Levy","White","Landline","North/Panhandle",4,"65+","High","Republican","North/Panhandle",1,0.893746376037598,0.995537645,0.891752268785803
"250","Unfavorable","Favorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Poor","Republican","Ten (definitely will vote)","Very likely","Some college or trade school","Caucasian/White",NA,62,"No","Female","Republican","Levy","White","Landline","North/Panhandle",3,"45 to 64","High","Republican","North/Panhandle",1,1.01857459545135,0.9943,1.01567165785432
"251","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Oppose","Oppose","Not","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","High school","African American/Black","Landline only",53,"No","Female","Democratic","Hillsborough","Black","Landline","Bay Area",3,"45 to 64","Middle","Democratic","Bay Area",1,0.92629861831665,0.751112593,0.811026587243244
"252","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Oppose","Not","Support","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",47,"No","Female","Republican","Manatee","White","Landline","Bay Area",3,"45 to 64","High","Republican","Bay Area",1,1.25167119503021,0.995546208,1.24888385345268
"253","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Oppose","Support","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Asian","Cell Phone only",51,"No","Male","Non-Partisan","Manatee","Other","Cell","Bay Area",3,"45 to 64","High","Other","Bay Area",1,0.651675045490265,0.966314988,0.640699204626545
"254","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Approve","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Real threat","[DO NOT READ] Don't know/No opinion","Fair","[DO NOT READ] Refused","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline only",79,"No","Female","Non-Partisan","Manatee","White","Landline","Bay Area",4,"65+","Middle","Other","Bay Area",1,0.900468230247498,0.83913244,0.828040166718781
"255","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Disapprove","Support","Support","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",29,"No","Female","Registered Independent","Okaloosa","White","Cell","North/Panhandle",1,"18 to 29","High","Other","North/Panhandle",1,0.793024778366089,0.871561066,0.742097149781625
"256","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Oppose","Support","Not","Support","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Hispanic/Latino","Landline only",68,"Yes","Male","Republican","Marion","White","Landline","Central",4,"65+","High","Republican","Central",1,1.3606059551239,0.99557334,1.35759448514525
"257","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Real threat","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",58,"No","Female","Democratic","Marion","White","Landline","Central",3,"45 to 64","Middle","Democratic","Central",1,1.0069420337677,0.741302492,0.876695336349622
"258","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Disapprove","Oppose","Support","Real threat","Support","[DO NOT READ] Don't know/No opinion","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","[DO NOT READ] Other/Something else (specify)","Landline and Cell Phone",66,"No","Male","Democratic","Marion","White","Landline","Central",4,"65+","High","Democratic","Central",1,1.09459400177002,0.945833307,1.06494873369056
"259","Favorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Support","Good","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","[DO NOT READ] Other/Something else (specify)","Landline and Cell Phone",62,"No","Female","Democratic","Marion","White","Landline","Central",3,"45 to 64","High","Democratic","Central",1,1.24746835231781,0.968837624,1.2280313133963
"260","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Oppose","Real threat","Support","Poor","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","African American/Black","Landline only",63,"No","Female","Democratic","Nassau","Black","Landline","North/Panhandle",3,"45 to 64","High","Democratic","North/Panhandle",1,0.933854520320892,0.996464188,0.93220355331129
"261","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat","Disapprove","Support","Oppose","Real threat","Support","Poor","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",60,"No","Male","Non-Partisan","Martin","White","Cell","Central",3,"45 to 64","Middle","Other","Central",1,0.884450972080231,0.816896292,0.803477845814183
"262","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","[DO NOT READ] Don't know/No opinion","Real threat","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline only",67,"No","Female","Democratic","Marion","White","Landline","Central",4,"65+","High","Democratic","Central",1,1.31235146522522,0.989090546,1.30519294625437
"263","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",78,"No","Male","Non-Partisan","Marion","White","Landline","Central",4,"65+","High","Other","Central",1,1.15271198749542,0.991605776,1.14787392618016
"264","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","[DO NOT READ] Other/Something else (specify)","Landline and Cell Phone",47,"No","Female","Non-Partisan","Okaloosa","Other","Cell","North/Panhandle",3,"45 to 64","High","Other","North/Panhandle",1,0.635806143283844,0.970689066,0.62648810733255
"265","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Oppose","Oppose","Not","Support","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",54,"No","Male","Republican","Okaloosa","White","Cell","North/Panhandle",3,"45 to 64","High","Republican","North/Panhandle",1,0.849566638469696,0.990682686,0.845608798902423
"266","Unfavorable","[DO NOT READ] Don't know/No opinion","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Support","Not","Oppose","Fair","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",36,"No","Female","Republican","Seminole","White","Landline","Central",2,"30 to 44","Low","Republican","Central",1,2.35108160972595,0.348809127,1.58558016558457
"267","Unfavorable","Unfavorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Marco Rubio, the Republican","Approve","Support","Oppose","Not","Support","Excellent","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",36,"No","Male","Republican","Nassau","White","Cell","North/Panhandle",2,"30 to 44","Middle","Republican","North/Panhandle",1,0.752387583255768,0.735942032,0.653050615064293
"268","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Real threat","Support","Good","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",57,"No","Male","Republican","Nassau","White","Landline","North/Panhandle",3,"45 to 64","High","Republican","North/Panhandle",1,0.849566638469696,0.994860314,0.847383385590791
"269","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline only",71,"No","Female","Republican","Charlotte","White","Landline","Southwest",4,"65+","High","Republican","Southwest",1,1.16182160377502,0.995836579,1.15940302812423
"270","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Oppose","Real threat","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Cell Phone only",41,"No","Male","Republican","Okaloosa","White","Cell","North/Panhandle",2,"30 to 44","High","Republican","North/Panhandle",1,0.932118773460388,0.991868601,0.928329059095249
"271","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat","Disapprove","Oppose","Oppose","Real threat","Support","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",71,"No","Female","Non-Partisan","Okaloosa","White","Landline","North/Panhandle",4,"65+","Middle","Other","North/Panhandle",1,0.732770264148712,0.816751323,0.665630673790001
"272","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",67,"No","Female","Republican","Osceola","White","Cell","North/Panhandle",4,"65+","High","Republican","North/Panhandle",1,1.07154166698456,0.989475291,1.06590283433559
"273","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Oppose","Not","Support","Good","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",66,"No","Female","Republican","Osceola","White","Landline","North/Panhandle",4,"65+","High","Republican","North/Panhandle",1,1.07154166698456,0.965367354,1.0529865053711
"274","Favorable","Unfavorable","Hillary Clinton, the Democrat","Jill Stein, the Green Party candidate","[DO NOT READ] Don't know/No opinion","Disapprove","Oppose","Oppose","Real threat","Oppose","Good","Republican","Nine","Very likely","Some college or trade school","Caucasian/White","Landline and Cell Phone",70,"No","Female","Non-Partisan","Osceola","White","Landline","North/Panhandle",4,"65+","Middle","Other","North/Panhandle",1,0.732770264148712,0.789907043,0.65579532871676
"275","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","[DO NOT READ] Don't know/No opinion","Good","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",57,"No","Female","Republican","Pasco","White","Landline","Bay Area",3,"45 to 64","High","Republican","Bay Area",1,1.25167119503021,0.97653346,1.2369849989477
