"","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","partyid","scale","likely","educ","racer","phonetyp","age","hisp","gender","party2","county","racest","smp","region","age4","turnout3","race.st","partyw","regionw","rv.weight","likelyyn","turnout.score","lv.weight"
"103","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","Oppose","Support","Real threat","Support","Support","Independent (No party)","Eight","Very likely","High school","Caucasian/White","Cell Phone Only",43,"No","M","Republican","Craven","White","Cell","East/ South Central",2,"Middle","White","Republican","East/ South Central",0.980081021785736,0,0.541211131,0.265215379136147
"104","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","Approve","[DO NOT READ] Don't know/No opinion","Support","[DO NOT READ] Don't know/No opinion","Oppose","Oppose","Republican","Eight","Very likely","High school","[DO NOT READ] Other/Something else (specify)","Cell Phone Only",50,"No","M","Non-Partisan","Brunswick","Black","Cell","East/ South Central",3,"Middle","Black","Other","East/ South Central",0.746140718460083,0,0.5806064,0.216607038219261
"105","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Cell Phone Only",60,"No","M","Republican","Cleveland","White","Cell","Southwest",3,"High","White","Republican","Southwest",1.31130743026733,1,0.933558015,1.26774449596123
"106","Unfavorable","Favorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Oppose","Oppose","Republican","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Cell Phone Only",52,"No","F","Non-Partisan","Alexander","White","Cell","Western",3,"High","White","Other","Western",0.699310898780823,1,0.882027857,0.658061296104608
"107","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","Favor","Approve","Support","Oppose","Real threat","Oppose","Support","Independent (No party)","One (definitely will NOT vote)","Not at all likely","Some college or trade school","African American/Black","Landline and Cell Phone",22,"No","F","Democratic","Gaston","Black","Cell","Southwest",1,"Middle","Black","Democratic","Southwest",2.82974624633789,0,0.635408384,0.899022244757812
"108","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Cell Phone Only",33,"No","M","Non-Partisan","Buncombe","White","Landline","Western",2,"Middle","White","Other","Western",0.730146110057831,1,0.828161618,0.667412546969865
"109","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",50,"No","F","Democratic","Henderson","White","Landline","Western",1,"Middle","White","Democratic","Western",1.20708417892456,1,0.523229074,0.919332858051654
"110","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Favor","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Independent (No party)","Three","Not very likely","Some college or trade school","Caucasian/White","Cell Phone Only",23,"No","F","Non-Partisan","New Hanover","White","Cell","East/ South Central",1,"Low","White","Other","East/ South Central",0.728584766387939,0,0.477574282,0.173976673341929
"111","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Support","Support","Real threat","[DO NOT READ] Don't know/No opinion","Support","Democrat","Eight","Almost certain","Some college or trade school","[DO NOT READ] Other/Something else (specify)","Cell Phone Only",19,"No","F","Democratic","Pitt","Black","Cell","East/ South Central",1,"High","Black","Democratic","East/ South Central",1.38602924346924,0,0.91640778,0.635083991011362
"112","Favorable","Favorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Pat McCrory, the Republican","Favor","Approve","Oppose","Oppose","Real threat","Oppose","Support","Democrat","Ten (definitely will vote)","Very likely","Some college or trade school","African American/Black","Landline and Cell Phone",20,"No","M","Non-Partisan","Mecklenburg","Black","Landline","Southwest",1,"Middle","Black","Other","Southwest",1.91120254993439,1,0.560867015,1.49156650958824
"113","Favorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Oppose","Real threat","Oppose","Support","Independent (No party)","Six","Not at all likely","Some college or trade school","African American/Black","Landline and Cell Phone",20,"No","M","Democratic","Pasquotank","Black","Cell","East/ South Central",1,"Low","Black","Democratic","East/ South Central",0.713747382164001,0,0.483870936,0.172680806937623
"114","[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","Favor","Approve","[DO NOT READ] Don't know/No opinion","Support","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Refused","Ten (definitely will vote)","Almost certain","[DO NOT READ] Refused","[DO NOT READ] Refused","Landline and Cell Phone",0,"[DO NOT READ] Refused","M","Democratic","Durham","Black","Landline","North Central",1,"High","Black","Democratic","North Central",1.79408240318298,1,0.903248247,1.70729209441578
"115","Unfavorable","Unfavorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Roy Cooper, the Democrat","Oppose","Disapprove","[DO NOT READ] Don't know/No opinion","Oppose","Not","Oppose","Support","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",31,"No","M","Non-Partisan","Nash","White","Cell","North Central",2,"High","White","Other","North Central",1.24280631542206,1,0.868278309,1.16095404069562
"116","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Disapprove","Support","Oppose","Real threat","Oppose","Support","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone Only",25,"No","M","Republican","Granville","White","Cell","North Central",1,"Middle","White","Republican","North Central",1.86943626403809,1,0.534865771,1.43466686636909
"117","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Real threat","Support","Support","Republican","Eight","Almost certain","Graduate or Professional degree","African American/Black","Cell Phone Only",32,"No","F","Republican","Cumberland","Black","Cell","East/ South Central",2,"Middle","Black","Republican","East/ South Central",1.49057769775391,0,0.714807664,0.532738181070984
"118","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",67,"No","M","Democratic","Cabarrus","White","Cell","Southwest",4,"High","White","Democratic","Southwest",0.953002095222473,1,0.919176652,0.914489685229026
"119","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",54,"No","F","Republican","Carteret","White","Cell","East/ South Central",3,"Middle","White","Republican","East/ South Central",1.03950202465057,1,0.696620503,0.881820223966088
"120","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","[DO NOT READ] Don't know/No opinion","Support","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",23,"No","M","Republican","Buncombe","White","Cell","Western",1,"Middle","White","Republican","Western",0.99178022146225,1,0.515002251,0.751274634006293
"121","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Oppose","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",31,"No","M","Non-Partisan","Moore","White","Cell","East/ South Central",2,"High","White","Other","East/ South Central",0.727511942386627,1,0.873859424,0.681627554656863
"122","Favorable","Favorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Oppose","Real threat","Oppose","Support","Independent (No party)","Nine","Somewhat likely","High school","Hispanic/Latino","Cell Phone Only",20,"Yes","M","Democratic","Sampson","White","Cell","East/ South Central",1,"Low","White","Democratic","East/ South Central",0.619358479976654,0,0.48308676,0.149601940685223
"123","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Oppose","[DO NOT READ] Don't know/No opinion","Real threat","[DO NOT READ] Don't know/No opinion","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",73,"No","M","Non-Partisan","Rutherford","White","Cell","Western",4,"High","White","Other","Western",0.417578369379044,1,0.898718054,0.396431794449935
"124","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Disapprove","Oppose","Support","Real threat","Support","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone Only",19,"No","M","Republican","New Hanover","White","Cell","East/ South Central",1,"Middle","White","Republican","East/ South Central",1.09432852268219,1,0.530155986,0.837246669816345
"125","Unfavorable","Unfavorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Disapprove","Support","Oppose","Real threat","Oppose","Oppose","Republican","Seven","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",31,"No","M","Non-Partisan","Cumberland","White","Cell","East/ South Central",1,"Low","White","Other","East/ South Central",0.552064657211304,0,0.473387073,0.130670136092004
"126","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Oppose","Oppose","Real threat","Oppose","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",65,"No","M","Republican","Pasquotank","White","Cell","East/ South Central",4,"Middle","White","Republican","East/ South Central",0.62071692943573,1,0.678360284,0.52089332098568
"127","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Support","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",53,"No","F","Non-Partisan","Macon","White","Landline","Western",3,"High","White","Other","Western",0.699310898780823,1,0.920047907,0.671355213773204
"128","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Support","Support","Real threat","Oppose","Support","Democrat","Six","Very likely","Some college or trade school","Hispanic/Latino","Landline and Cell Phone",20,"Yes","F","Democratic","Tyrrell","Black","Cell","East/ South Central",1,"High","Black","Democratic","East/ South Central",1.38602924346924,0,0.91640778,0.635083991011362
"129","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",63,"No","M","Republican","Johnston","White","Cell","North Central",3,"High","White","Republican","North Central",1.21504092216492,1,0.936641003,1.17654903509375
"130","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Oppose","Approve","Oppose","Oppose","Real threat","Oppose","Oppose","Democrat","Nine","Very likely","High school","Hispanic/Latino","Landline and Cell Phone",20,"Yes","M","Non-Partisan","Alamance","Hispanic","Landline","Piedmont-Triad",1,"Low","Hispanic","Other","Piedmont-Triad",0.495107471942902,1,0.448222468,0.358512882471195
"131","Unfavorable","Favorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Pat McCrory, the Republican","Favor","Approve","Oppose","Support","Not","Support","Oppose","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",63,"No","F","Non-Partisan","Pitt","White","Landline","East/ South Central",3,"High","White","Other","East/ South Central",0.771618545055389,1,0.927148663,0.74351182372475
"132","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","[DO NOT READ] Don't know/No opinion","Support","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","Democrat","Ten (definitely will vote)","Almost certain","High school","African American/Black","Landline and Cell Phone",61,"No","M","Democratic","Nash","Black","Landline","North Central",3,"Middle","Black","Democratic","North Central",1.42999005317688,1,0.717470362,1.22798276714305
"133","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Someone else (specify)","Roy Cooper, the Democrat","Favor","Disapprove","Support","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Very likely","Bachelors' degree","African American/Black","Cell Phone Only",63,"No","M","Non-Partisan","Guilford","Black","Cell","Piedmont-Triad",3,"High","Black","Other","Piedmont-Triad",0.829110026359558,1,0.941973701,0.805054933212839
"134","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Real threat","Support","Support","Independent (No party)","Ten (definitely will vote)","Very likely","Some college or trade school","Hispanic/Latino","Cell Phone Only",36,"Yes","M","Non-Partisan","Hoke","Hispanic","Cell","East/ South Central",2,"High","Hispanic","Other","East/ South Central",0.530217111110687,1,0.88418073,0.499512431735513
"135","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Oppose","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Grade school","Caucasian/White","Landline and Cell Phone",19,"No","F","Non-Partisan","Watauga","White","Cell","Western",1,"High","White","Other","Western",0.971594214439392,1,0.869112062,0.908009232789041
"136","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Nine","Very likely","Graduate or Professional degree","African American/Black","Landline and Cell Phone",59,"No","M","Democratic","Mecklenburg","Black","Landline","Southwest",3,"Middle","Black","Democratic","Southwest",1.54327070713043,1,0.707990123,1.317945562447
"137","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Oppose","Support","Real threat","Oppose","Oppose","Independent (No party)","Seven","Very likely","High school","Caucasian/White","Cell Phone Only",20,"No","M","Non-Partisan","Buncombe","Other","Landline","Western",1,"Low","Other","Other","Western",0.618977248668671,0,0.435499995,0.13478229435016
"138","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Support","Support","Real threat","Oppose","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","African American/Black","Cell Phone Only",27,"No","F","Non-Partisan","Cumberland","Black","Cell","East/ South Central",1,"Middle","Black","Other","East/ South Central",1.36812496185303,1,0.614307147,1.10428695195422
"139","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Support","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","Oppose","Democrat","Nine","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",56,"No","F","Democratic","Cumberland","White","Cell","East/ South Central",3,"High","White","Democratic","East/ South Central",0.865675985813141,1,0.927490104,0.834290947962637
"140","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Pat McCrory, the Republican","Oppose","Disapprove","Oppose","Oppose","Real threat","Oppose","Oppose","or as a member of another political party","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone Only",24,"No","F","Libertarian","Gaston","White","Cell","Southwest",1,"Low","White","Other","Southwest",1.34324026107788,1,0.492608074,1.00246562950336
"141","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Republican","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Cell Phone Only",52,"No","F","Republican","Gaston","White","Cell","Southwest",3,"High","White","Republican","Southwest",1.7305850982666,1,0.940107912,1.67876092076817
"142","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone Only",64,"No","F","Republican","Brunswick","White","Cell","East/ South Central",3,"Middle","White","Republican","East/ South Central",1.03950202465057,1,0.722838567,0.895447089271297
"143","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","Disapprove","Support","Oppose","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Independent (No party)","Two","Not at all likely","Bachelors' degree","Caucasian/White","Cell Phone Only",31,"No","M","Non-Partisan","Johnston","White","Cell","North Central",2,"Low","White","Other","North Central",0.844625890254974,0,0.490918713,0.207321327505226
"144","Unfavorable","Favorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Disapprove","Oppose","Oppose","Real threat","[DO NOT READ] Don't know/No opinion","Oppose","Republican","Two","Not very likely","Bachelors' degree","Hispanic/Latino","Cell Phone Only",24,"Yes","F","Non-Partisan","Onslow","White","Cell","East/ South Central",1,"Low","White","Other","East/ South Central",0.728584766387939,0,0.492608074,0.179453369258051
"145","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Disapprove","Oppose","Support","Real threat","Oppose","Support","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","African American/Black","Cell Phone Only",29,"No","M","Democratic","Onslow","Black","Cell","East/ South Central",1,"Middle","Black","Democratic","East/ South Central",1.16301810741425,1,0.606294817,0.934074979008326
"146","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Disapprove","Support","Oppose","Real threat","Support","Oppose","Independent (No party)","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Cell Phone Only",51,"No","M","Non-Partisan","Catawba","White","Cell","Western",3,"Middle","White","Other","Western",0.586790263652802,1,0.582910175,0.464418139463476
"147","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","Support","Oppose","Not","Support","Support","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Cell Phone Only",63,"No","M","Republican","Transylvania","White","Cell","Western",3,"High","White","Republican","Western",0.64461225271225,1,0.936641003,0.62419125981937
"148","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",69,"No","M","Democratic","Yancey","White","Cell","Western",4,"High","White","Democratic","Western",0.468477755784988,1,0.915775427,0.448749086314494
"149","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Oppose","Oppose","Not","Support","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone Only",79,"No","M","Non-Partisan","Clay","White","Cell","Western",4,"High","White","Other","Western",0.417578369379044,1,0.882438029,0.39303270130346
"150","Favorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Support","[DO NOT READ] Don't know/No opinion","Not","Oppose","Support","Independent (No party)","Ten (definitely will vote)","Very likely","Graduate or Professional degree","African American/Black","Landline and Cell Phone",49,"No","F","Non-Partisan","Guilford","Black","Cell","Piedmont-Triad",3,"Middle","Black","Other","Piedmont-Triad",1.21172726154327,1,0.713086405,1.03789674915883
"151","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline Only",58,"No","F","Republican","Brunswick","White","Landline","East/ South Central",3,"Middle","White","Republican","East/ South Central",1.03950202465057,1,0.835835343,0.95417727798679
"152","[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Support","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",20,"No","M","Democratic","Brunswick","White","Cell","East/ South Central",1,"Middle","White","Democratic","East/ South Central",1.0092169046402,1,0.669759628,0.842574821631664
"153","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",66,"No","F","Democratic","Brunswick","White","Landline","East/ South Central",4,"High","White","Democratic","East/ South Central",0.682204484939575,1,0.967593792,0.671150654720833
"154","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Richard Burr, the Republican","Roy Cooper, the Democrat","Favor","Disapprove","Support","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",62,"No","M","Republican","Brunswick","White","Cell","East/ South Central",3,"High","White","Republican","East/ South Central",0.71126389503479,1,0.969370447,0.700371047449813
"155","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","Support","[DO NOT READ] Don't know/No opinion","Not","Oppose","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Almost certain","High school","Asian","Landline and Cell Phone",56,"No","F","Republican","Cabarrus","Other","Landline","Southwest",3,"Middle","Other","Republican","Southwest",2.37090063095093,1,0.81166599,2.14764001938167
"156","Unfavorable","Unfavorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Real threat","Support","Oppose","Independent (No party)","Six","Somewhat likely","Bachelors' degree","Caucasian/White","Landline and Cell Phone",24,"No","M","Non-Partisan","Caldwell","White","Landline","Western",1,"Middle","White","Other","Western",0.815265536308289,0,0.64211254,0.261746112146689
"157","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Oppose","[DO NOT READ] Don't know/No opinion","Support","Oppose","Not","Oppose","Support","or as a member of another political party","One (definitely will NOT vote)","Not very likely","Some college or trade school","Caucasian/White","Cell Phone Only",20,"No","M","Non-Partisan","Catawba","White","Cell","Western",1,"Middle","White","Other","Western",0.815265536308289,0,0.654771724,0.266906410363181
"158","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Oppose","Disapprove","[DO NOT READ] Don't know/No opinion","Support","Real threat","[DO NOT READ] Don't know/No opinion","Oppose","Republican","Ten (definitely will vote)","Very likely","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",0,"No","M","Republican","Cabarrus","White","Cell","Southwest",1,"Middle","White","Republican","Southwest",2.01753854751587,1,0.697369729,1.71225442882203
"159","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Disapprove","Support","Oppose","Real threat","Oppose","Support","Independent (No party)","Nine","Very likely","High school","Caucasian/White","Landline Only",20,"No","M","Non-Partisan","Cherokee","White","Landline","Western",1,"Middle","White","Other","Western",0.815265536308289,1,0.642238984,0.669430423018569
"160","Unfavorable","Unfavorable","Donald Trump, the Republican","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","Disapprove","Support","Oppose","[DO NOT READ] Don't know/No opinion","Support","Support","Independent (No party)","Eight","Very likely","Some college or trade school","Caucasian/White","Cell Phone Only",35,"No","M","Non-Partisan","Buncombe","White","Cell","Western",2,"Middle","White","Other","Western",0.730146110057831,0,0.704577845,0.25722238637984
"161","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Oppose","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",61,"No","M","Republican","Buncombe","White","Landline","Western",3,"High","White","Republican","Western",0.64461225271225,1,0.968869651,0.634578750513945
